date,item_id,store_id,units_sold,predicted_units_sold,revenue
2011-05-28,FOODS_1_001,CA_1,3,1.4383689530270931,6.0
2011-05-29,FOODS_1_001,CA_1,1,1.4503243182734518,2.0
2011-05-30,FOODS_1_001,CA_1,0,1.7073450707401159,0.0
2011-05-31,FOODS_1_001,CA_1,1,1.2408474450097664,2.0
2011-06-01,FOODS_1_001,CA_1,0,1.307011872650468,0.0
2011-06-02,FOODS_1_001,CA_1,2,1.2727542022847789,4.0
2011-06-03,FOODS_1_001,CA_1,0,1.8708670691545388,0.0
2011-06-04,FOODS_1_001,CA_1,0,1.266871477013974,0.0
2011-06-05,FOODS_1_001,CA_1,0,1.1578310244348735,0.0
2011-06-06,FOODS_1_001,CA_1,0,0.933370717195643,0.0
2011-06-07,FOODS_1_001,CA_1,0,1.0035213046287805,0.0
2011-06-08,FOODS_1_001,CA_1,1,1.0141563955003667,2.0
2011-06-09,FOODS_1_001,CA_1,4,0.9373644477787939,8.0
2011-06-10,FOODS_1_001,CA_1,0,1.0603295378487603,0.0
2011-06-11,FOODS_1_001,CA_1,0,0.9088286926272192,0.0
2011-06-12,FOODS_1_001,CA_1,3,0.6134955942805982,6.0
2011-06-13,FOODS_1_001,CA_1,0,0.8793861793242755,0.0
2011-06-14,FOODS_1_001,CA_1,1,0.7570960664760653,2.0
2011-06-15,FOODS_1_001,CA_1,1,0.7899460681280194,2.0
2011-06-16,FOODS_1_001,CA_1,0,0.9039265914153878,0.0
2011-06-17,FOODS_1_001,CA_1,2,0.6787460979074253,4.0
2011-06-18,FOODS_1_001,CA_1,3,0.7903175176906814,6.0
2011-06-19,FOODS_1_001,CA_1,2,1.174807482486363,4.0
2011-06-20,FOODS_1_001,CA_1,3,1.0840983257259014,6.0
2011-06-21,FOODS_1_001,CA_1,1,1.2570548520557727,2.0
2011-06-22,FOODS_1_001,CA_1,1,1.3616153553755628,2.0
2011-06-23,FOODS_1_001,CA_1,0,1.297874526034917,0.0
2011-06-24,FOODS_1_001,CA_1,2,1.3719403268029564,4.0
2011-06-25,FOODS_1_001,CA_1,1,1.2949218437993726,2.0
2011-06-26,FOODS_1_001,CA_1,0,1.2271063660304047,0.0
2011-05-28,FOODS_1_002,CA_1,0,0.979646261666983,0.0
2011-05-29,FOODS_1_002,CA_1,0,0.8562778903808533,0.0
2011-05-30,FOODS_1_002,CA_1,0,0.835390893102399,0.0
2011-05-31,FOODS_1_002,CA_1,0,0.7474808250700689,0.0
2011-06-01,FOODS_1_002,CA_1,1,0.6868590486356847,7.88
2011-06-02,FOODS_1_002,CA_1,0,0.8150905239943148,0.0
2011-06-03,FOODS_1_002,CA_1,2,0.6840960749209164,15.76
2011-06-04,FOODS_1_002,CA_1,0,0.8471939299422259,0.0
2011-06-05,FOODS_1_002,CA_1,0,0.6980148006055874,0.0
2011-06-06,FOODS_1_002,CA_1,4,0.5741114307237866,31.52
2011-06-07,FOODS_1_002,CA_1,2,0.6607352064332741,15.76
2011-06-08,FOODS_1_002,CA_1,4,0.7893998814340821,31.52
2011-06-09,FOODS_1_002,CA_1,0,0.9612378419720834,0.0
2011-06-10,FOODS_1_002,CA_1,3,0.9373644477787939,23.64
2011-06-11,FOODS_1_002,CA_1,1,1.0141563955003667,7.88
2011-06-12,FOODS_1_002,CA_1,1,1.082855215357015,7.88
2011-06-13,FOODS_1_002,CA_1,1,1.1912386764152514,7.88
2011-06-14,FOODS_1_002,CA_1,2,1.1435721809675805,15.76
2011-06-15,FOODS_1_002,CA_1,2,1.3429288367909085,15.76
2011-06-16,FOODS_1_002,CA_1,1,1.303863223683335,7.88
2011-06-17,FOODS_1_002,CA_1,0,1.3199454834496882,0.0
2011-06-18,FOODS_1_002,CA_1,2,1.2998085187597639,15.76
2011-06-19,FOODS_1_002,CA_1,3,1.424163734225736,23.64
2011-06-20,FOODS_1_002,CA_1,1,1.5235516341768511,7.88
2011-06-21,FOODS_1_002,CA_1,2,1.296505451712124,15.76
2011-06-22,FOODS_1_002,CA_1,0,1.2892736436948196,0.0
2011-06-23,FOODS_1_002,CA_1,2,1.2605068589062298,15.76
2011-06-24,FOODS_1_002,CA_1,2,1.2797040254433796,15.76
2011-06-25,FOODS_1_002,CA_1,1,1.2231934513527356,7.88
2011-06-26,FOODS_1_002,CA_1,0,1.2718445365438142,0.0
2011-05-28,FOODS_1_003,CA_1,0,1.0093061410762376,0.0
2011-05-29,FOODS_1_003,CA_1,1,0.8805182923656882,2.88
2011-05-30,FOODS_1_003,CA_1,2,1.0124962633189387,5.76
2011-05-31,FOODS_1_003,CA_1,0,1.0527829301429024,0.0
2011-06-01,FOODS_1_003,CA_1,0,0.6227051262508028,0.0
2011-06-02,FOODS_1_003,CA_1,3,0.7885333879832528,8.64
2011-06-03,FOODS_1_003,CA_1,0,1.1668227756270246,0.0
2011-06-04,FOODS_1_003,CA_1,1,0.7821807102348892,2.88
2011-06-05,FOODS_1_003,CA_1,0,0.5578218167591306,0.0
2011-06-06,FOODS_1_003,CA_1,4,0.5826867773191184,11.52
2011-06-07,FOODS_1_003,CA_1,0,0.739635569549922,0.0
2011-06-08,FOODS_1_003,CA_1,0,0.7007595952422361,0.0
2011-06-09,FOODS_1_003,CA_1,0,0.8317540443156345,0.0
2011-06-10,FOODS_1_003,CA_1,0,0.7007595952422361,0.0
2011-06-11,FOODS_1_003,CA_1,6,0.8278868791613521,17.28
2011-06-12,FOODS_1_003,CA_1,4,1.082855215357015,11.52
2011-06-13,FOODS_1_003,CA_1,0,1.3476571553186967,0.0
2011-06-14,FOODS_1_003,CA_1,0,1.3240916158406282,0.0
2011-06-15,FOODS_1_003,CA_1,0,1.1152683567321529,0.0
2011-06-16,FOODS_1_003,CA_1,1,1.119181271409822,2.88
2011-06-17,FOODS_1_003,CA_1,1,0.9650167798837552,2.88
2011-06-18,FOODS_1_003,CA_1,0,1.5692430840695712,0.0
2011-06-19,FOODS_1_003,CA_1,1,1.0270844596406996,2.88
2011-06-20,FOODS_1_003,CA_1,0,1.0542436024950168,0.0
2011-06-21,FOODS_1_003,CA_1,0,0.8566913699754186,0.0
2011-06-22,FOODS_1_003,CA_1,1,0.8455466472804453,2.88
2011-06-23,FOODS_1_003,CA_1,2,0.8783966489323993,5.76
2011-06-24,FOODS_1_003,CA_1,2,0.9697946686180846,5.76
2011-06-25,FOODS_1_003,CA_1,1,1.0251693720752315,2.88
2011-06-26,FOODS_1_003,CA_1,0,0.8979067009270846,0.0
2011-05-28,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-05-29,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-05-30,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-05-31,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-01,FOODS_1_004,CA_1,0,0.025227864145183188,0.0
2011-06-02,FOODS_1_004,CA_1,0,0.02246489043041482,0.0
2011-06-03,FOODS_1_004,CA_1,0,0.02246489043041482,0.0
2011-06-04,FOODS_1_004,CA_1,0,0.008868724485422488,0.0
2011-06-05,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-06,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-07,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-08,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-09,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-10,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-11,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-12,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-13,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-14,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-15,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-16,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-17,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-18,FOODS_1_004,CA_1,0,0.0036669793441452695,0.0
2011-06-19,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-20,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-21,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-22,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-23,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-24,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-25,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-06-26,FOODS_1_004,CA_1,0,0.005732081961907267,0.0
2011-05-28,FOODS_1_005,CA_1,0,0.4825783726425758,0.0
2011-05-29,FOODS_1_005,CA_1,0,0.4645412554839021,0.0
2011-05-30,FOODS_1_005,CA_1,0,0.08420296213698535,0.0
2011-05-31,FOODS_1_005,CA_1,0,0.08420296213698535,0.0
2011-06-01,FOODS_1_005,CA_1,0,0.22560644284593775,0.0
2011-06-02,FOODS_1_005,CA_1,0,0.24682319870582486,0.0
2011-06-03,FOODS_1_005,CA_1,0,0.1890758312226161,0.0
2011-06-04,FOODS_1_005,CA_1,0,0.04768630904006693,0.0
2011-06-05,FOODS_1_005,CA_1,0,0.12311570594616167,0.0
2011-06-06,FOODS_1_005,CA_1,0,0.29465696756631826,0.0
2011-06-07,FOODS_1_005,CA_1,0,0.09283916070047522,0.0
2011-06-08,FOODS_1_005,CA_1,0,0.012208018653103132,0.0
2011-06-09,FOODS_1_005,CA_1,0,0.08429812139151738,0.0
2011-06-10,FOODS_1_005,CA_1,0,0.08429812139151738,0.0
2011-06-11,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-12,FOODS_1_005,CA_1,0,0.16472462662895324,0.0
2011-06-13,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-14,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-15,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-16,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-17,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-18,FOODS_1_005,CA_1,0,0.0036669793441452695,0.0
2011-06-19,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-20,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-21,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-22,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-23,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-24,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-25,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-06-26,FOODS_1_005,CA_1,0,0.005732081961907267,0.0
2011-05-28,FOODS_1_006,CA_1,1,1.3625960686946588,1.97
2011-05-29,FOODS_1_006,CA_1,13,1.402427881444042,25.61
2011-05-30,FOODS_1_006,CA_1,4,1.9622965260395668,7.88
2011-05-31,FOODS_1_006,CA_1,0,2.156934389383381,0.0
2011-06-01,FOODS_1_006,CA_1,0,2.1716743490360915,0.0
2011-06-02,FOODS_1_006,CA_1,1,1.935361837671007,1.97
2011-06-03,FOODS_1_006,CA_1,6,2.138938761820903,11.82
2011-06-04,FOODS_1_006,CA_1,1,2.045988173747642,1.97
2011-06-05,FOODS_1_006,CA_1,1,2.3221402087456298,1.97
2011-06-06,FOODS_1_006,CA_1,6,2.1696477644425096,11.82
2011-06-07,FOODS_1_006,CA_1,4,2.461833990589429,7.88
2011-06-08,FOODS_1_006,CA_1,9,2.0895574586185,17.73
2011-06-09,FOODS_1_006,CA_1,3,2.7718940279966082,5.91
2011-06-10,FOODS_1_006,CA_1,2,3.3136509921736024,3.94
2011-06-11,FOODS_1_006,CA_1,3,2.6328593317660576,5.91
2011-06-12,FOODS_1_006,CA_1,5,4.314815156102367,9.85
2011-06-13,FOODS_1_006,CA_1,0,2.7543588127235643,0.0
2011-06-14,FOODS_1_006,CA_1,1,2.3142130268834413,1.97
2011-06-15,FOODS_1_006,CA_1,4,2.6762724430722837,7.88
2011-06-16,FOODS_1_006,CA_1,1,2.661822724907092,1.97
2011-06-17,FOODS_1_006,CA_1,2,2.5060496305296147,3.94
2011-06-18,FOODS_1_006,CA_1,8,2.453220711584747,15.76
2011-06-19,FOODS_1_006,CA_1,0,2.8108595160513445,0.0
2011-06-20,FOODS_1_006,CA_1,3,2.6973231101839343,5.91
2011-06-21,FOODS_1_006,CA_1,2,2.655368115699378,3.94
2011-06-22,FOODS_1_006,CA_1,3,2.45809663997589,5.91
2011-06-23,FOODS_1_006,CA_1,4,2.165298860963127,7.88
2011-06-24,FOODS_1_006,CA_1,3,2.491941984054886,5.91
2011-06-25,FOODS_1_006,CA_1,0,2.5267378257228086,0.0
2011-06-26,FOODS_1_006,CA_1,5,2.87535803351182,9.85
2011-05-28,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-05-29,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-05-30,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-05-31,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-01,FOODS_1_008,CA_1,0,0.025227864145183188,0.0
2011-06-02,FOODS_1_008,CA_1,0,0.02246489043041482,0.0
2011-06-03,FOODS_1_008,CA_1,0,0.02246489043041482,0.0
2011-06-04,FOODS_1_008,CA_1,0,0.008868724485422488,0.0
2011-06-05,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-06,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-07,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-08,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-09,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-10,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-11,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-12,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-13,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-14,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-15,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-16,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-17,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-18,FOODS_1_008,CA_1,0,0.0036669793441452695,0.0
2011-06-19,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-20,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-21,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-22,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-23,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-24,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-25,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-06-26,FOODS_1_008,CA_1,0,0.005732081961907267,0.0
2011-05-28,FOODS_1_009,CA_1,0,0.005732081961907267,0.0
